"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","10.4","100.0","0.0","9.9","100.0","0.0","-0.5","-4.9","","0"
"Management occupations","=""11-0000""","Summary","0.7","6.8","0.0","0.7","6.8","0.0","0.0","-5.4","2","1"
"Top executives","=""11-1000""","Summary","0.3","2.5","0.0","0.2","2.2","0.0","0.0","-15.0","3","2"
"Chief executives","=""11-1011""","Line Item","0.3","2.5","0.1","0.2","2.2","0.1","0.0","-15.0","4","3"
"Other management occupations","=""11-9000""","Summary","0.5","4.3","0.0","0.5","4.6","0.0","0.0","0.0","27","2"
"Farmers, ranchers, and other agricultural managers","=""11-9013""","Line Item","0.4","3.6","0.0","0.4","3.8","0.0","0.0","0.0","28","3"
"Property, real estate, and community association managers","=""11-9141""","Line Item","0.1","0.7","0.0","0.1","0.8","0.0","0.0","0.0","44","3"
"Life, physical, and social science occupations","=""19-0000""","Summary","1.0","9.8","0.1","1.0","10.3","0.1","0.0","0.0","166","1"
"Life scientists","=""19-1000""","Summary","1.0","9.8","0.3","1.0","10.3","0.3","0.0","0.0","167","2"
"Biological scientists","=""19-1020""","Summary","1.0","9.8","0.8","1.0","10.3","0.7","0.0","0.0","172","3"
"Zoologists and wildlife biologists","=""19-1023""","Line Item","0.4","3.7","2.0","0.4","3.9","2.0","0.0","0.0","175","4"
"Biological scientists, all other","=""19-1029""","Line Item","0.6","6.1","1.1","0.6","6.4","1.0","0.0","0.0","176","4"
"Arts, design, entertainment, sports, and media occupations","=""27-0000""","Summary","0.7","7.2","0.0","0.7","7.1","0.0","0.0","-6.0","355","1"
"Art and design workers","=""27-1000""","Summary","0.7","7.2","0.1","0.7","7.1","0.1","0.0","-6.0","356","2"
"Designers","=""27-1020""","Summary","0.7","7.2","0.1","0.7","7.1","0.1","0.0","-6.0","363","3"
"Floral designers","=""27-1023""","Line Item","0.7","7.2","1.4","0.7","7.1","1.6","0.0","-6.0","366","4"
"Office and administrative support occupations","=""43-0000""","Summary","1.0","9.1","0.0","0.8","8.2","0.0","-0.1","-14.5","677","1"
"Financial clerks","=""43-3000""","Summary","0.1","0.8","0.0","0.1","0.8","0.0","0.0","-10.0","684","2"
"Bookkeeping, accounting, and auditing clerks","=""43-3031""","Line Item","0.1","0.8","0.0","0.1","0.8","0.0","0.0","-10.0","687","3"
"Secretaries and administrative assistants","=""43-6000""","Summary","0.9","8.3","0.0","0.7","7.5","0.0","-0.1","-15.0","725","2"
"Secretaries and administrative assistants, except legal, medical, and executive","=""43-6014""","Line Item","0.9","8.3","0.0","0.7","7.5","0.0","-0.1","-15.0","729","3"
"Farming, fishing, and forestry occupations","=""45-0000""","Summary","6.6","63.5","0.7","6.3","63.8","0.6","-0.3","-4.4","742","1"
"Supervisors of farming, fishing, and forestry workers","=""45-1000""","Summary","0.8","7.4","1.4","0.8","7.8","1.3","0.0","0.0","743","2"
"First-line supervisors of farming, fishing, and forestry workers","=""45-1011""","Line Item","0.8","7.4","1.4","0.8","7.8","1.3","0.0","0.0","744","3"
"Agricultural workers","=""45-2000""","Summary","1.9","18.3","0.2","1.8","18.5","0.2","-0.1","-4.1","745","2"
"Miscellaneous agricultural workers","=""45-2090""","Summary","1.9","18.3","0.2","1.8","18.5","0.2","-0.1","-4.1","749","3"
"Farmworkers and laborers, crop, nursery, and greenhouse","=""45-2092""","Line Item","1.6","15.3","0.3","1.5","15.3","0.3","-0.1","-5.0","751","4"
"Agricultural workers, all other","=""45-2099""","Line Item","0.3","2.8","2.6","0.3","2.9","2.5","0.0","0.0","753","4"
"Forest, conservation, and logging workers","=""45-4000""","Summary","3.9","37.7","6.2","3.7","37.5","6.2","-0.2","-5.5","756","2"
"Forest and conservation workers","=""45-4011""","Line Item","2.6","24.6","22.6","2.3","23.3","22.3","-0.3","-10.0","757","3"
"Logging workers","=""45-4020""","Summary","1.4","13.1","2.6","1.4","14.2","2.8","0.0","2.9","758","3"
"Fallers","=""45-4021""","Line Item","0.2","2.3","3.8","0.2","2.3","3.9","0.0","-5.0","759","4"
"Logging equipment operators","=""45-4022""","Line Item","1.0","9.9","2.9","1.1","10.9","3.2","0.1","5.0","760","4"
"Logging workers, all other","=""45-4029""","Line Item","0.1","0.8","1.8","0.1","0.9","1.9","0.0","0.0","762","4"
"Production occupations","=""51-0000""","Summary","0.4","3.5","0.0","0.4","3.7","0.0","0.0","0.0","907","1"
"Woodworkers","=""51-7000""","Summary","0.4","3.5","0.1","0.4","3.7","0.1","0.0","0.0","987","2"
"Woodworking machine setters, operators, and tenders","=""51-7040""","Summary","0.4","3.5","0.3","0.4","3.7","0.3","0.0","0.0","993","3"
"Woodworking machine setters, operators, and tenders, except sawing","=""51-7042""","Line Item","0.4","3.5","0.6","0.4","3.7","0.6","0.0","0.0","995","4"
