"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","367.1","100.0","0.2","364.9","100.0","0.2","-2.2","-0.6","","0"
"Management occupations","=""11-0000""","Summary","31.4","8.5","0.2","31.8","8.7","0.2","0.5","1.5","2","1"
"Top executives","=""11-1000""","Summary","8.8","2.4","0.2","8.8","2.4","0.2","0.0","0.0","3","2"
"Chief executives","=""11-1011""","Line Item","0.6","0.2","0.2","0.5","0.1","0.2","-0.1","-14.1","4","3"
"General and operations managers","=""11-1021""","Line Item","8.2","2.2","0.2","8.3","2.3","0.2","0.1","1.0","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","2.6","0.7","0.3","2.7","0.7","0.2","0.0","1.0","7","2"
"Marketing and sales managers","=""11-2020""","Summary","2.6","0.7","0.3","2.6","0.7","0.3","0.0","1.0","9","3"
"Marketing managers","=""11-2021""","Line Item","0.7","0.2","0.2","0.7","0.2","0.2","0.0","1.0","10","4"
"Sales managers","=""11-2022""","Line Item","1.9","0.5","0.3","1.9","0.5","0.3","0.0","1.0","11","4"
"Public relations and fundraising managers","=""11-2030""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","1.0","12","3"
"Public relations managers","=""11-2032""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","1.0","13","4"
"Operations specialties managers","=""11-3000""","Summary","15.0","4.1","0.6","15.4","4.2","0.6","0.4","2.5","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","1.6","0.4","0.4","1.6","0.4","0.4","0.0","1.0","16","3"
"Administrative services managers","=""11-3012""","Line Item","0.5","0.1","0.2","0.5","0.1","0.2","0.0","1.0","17","4"
"Facilities managers","=""11-3013""","Line Item","1.1","0.3","0.8","1.1","0.3","0.8","0.0","1.0","18","4"
"Computer and information systems managers","=""11-3021""","Line Item","0.8","0.2","0.1","0.8","0.2","0.1","0.1","8.1","19","3"
"Financial managers","=""11-3031""","Line Item","1.6","0.4","0.2","1.8","0.5","0.2","0.2","11.1","20","3"
"Industrial production managers","=""11-3051""","Line Item","8.2","2.2","3.7","8.2","2.3","3.7","0.1","1.0","21","3"
"Purchasing managers","=""11-3061""","Line Item","0.7","0.2","0.9","0.7","0.2","0.8","0.0","1.0","22","3"
"Transportation, storage, and distribution managers","=""11-3071""","Line Item","1.4","0.4","0.8","1.4","0.4","0.7","0.0","1.0","23","3"
"Human resources managers","=""11-3121""","Line Item","0.7","0.2","0.4","0.7","0.2","0.3","0.0","1.0","25","3"
"Training and development managers","=""11-3131""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","1.0","26","3"
"Other management occupations","=""11-9000""","Summary","4.9","1.3","0.1","4.9","1.4","0.1","0.1","1.1","27","2"
"Construction managers","=""11-9021""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","6.1","29","3"
"Architectural and engineering managers","=""11-9041""","Line Item","2.1","0.6","1.0","2.1","0.6","1.0","0.0","1.0","35","3"
"Natural sciences managers","=""11-9121""","Line Item","0.5","0.1","0.6","0.5","0.1","0.6","0.0","1.0","42","3"
"Managers, all other","=""11-9199""","Line Item","2.2","0.6","0.2","2.2","0.6","0.2","0.0","1.0","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","19.0","5.2","0.2","19.3","5.3","0.2","0.2","1.3","51","1"
"Business operations specialists","=""13-1000""","Summary","15.3","4.2","0.2","15.5","4.2","0.2","0.2","1.4","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","3.2","0.9","0.7","2.9","0.8","0.6","-0.3","-9.1","54","3"
"Compliance officers","=""13-1041""","Line Item","0.9","0.2","0.2","0.9","0.2","0.2","0.0","1.0","58","3"
"Cost estimators","=""13-1051""","Line Item","0.2","0.0","0.1","0.2","0.0","0.1","0.0","-4.0","59","3"
"Human resources workers","=""13-1070""","Summary","2.2","0.6","0.2","2.1","0.6","0.2","0.0","-1.0","60","3"
"Human resources specialists","=""13-1071""","Line Item","2.1","0.6","0.2","2.1","0.6","0.2","0.0","-1.0","61","4"
"Logisticians and project management specialists","=""13-1080""","Summary","4.2","1.1","0.4","4.5","1.2","0.4","0.4","8.8","64","3"
"Logisticians","=""13-1081""","Line Item","2.7","0.7","1.3","3.0","0.8","1.2","0.4","13.1","65","4"
"Project management specialists","=""13-1082""","Line Item","1.5","0.4","0.2","1.5","0.4","0.2","0.0","1.0","66","4"
"Management analysts","=""13-1111""","Line Item","0.6","0.2","0.1","0.6","0.2","0.1","0.0","1.0","67","3"
"Compensation, benefits, and job analysis specialists","=""13-1141""","Line Item","0.2","0.0","0.2","0.2","0.0","0.2","0.0","1.0","70","3"
"Training and development specialists","=""13-1151""","Line Item","1.0","0.3","0.3","1.0","0.3","0.2","0.0","1.0","71","3"
"Market research analysts and marketing specialists","=""13-1161""","Line Item","1.6","0.4","0.2","1.7","0.5","0.2","0.1","8.1","72","3"
"Business operations specialists, all other","=""13-1199""","Line Item","1.3","0.4","0.1","1.3","0.4","0.1","0.0","1.0","73","3"
"Financial specialists","=""13-2000""","Summary","3.8","1.0","0.1","3.8","1.0","0.1","0.0","0.9","74","2"
"Accountants and auditors","=""13-2011""","Line Item","3.2","0.9","0.2","3.2","0.9","0.2","0.0","1.0","75","3"
