"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","851.2","100.0","0.5","809.8","100.0","0.5","-41.4","-4.9","","0"
"Management occupations","=""11-0000""","Summary","47.7","5.6","0.4","43.8","5.4","0.3","-3.9","-8.3","2","1"
"Top executives","=""11-1000""","Summary","35.2","4.1","0.9","32.2","4.0","0.8","-3.0","-8.6","3","2"
"Chief executives","=""11-1011""","Line Item","0.4","0.0","0.1","0.3","0.0","0.1","-0.1","-22.2","4","3"
"General and operations managers","=""11-1021""","Line Item","34.8","4.1","1.0","31.9","3.9","0.9","-3.0","-8.5","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","8.3","1.0","0.8","7.6","0.9","0.7","-0.7","-8.5","7","2"
"Advertising and promotions managers","=""11-2011""","Line Item","0.1","0.0","0.4","0.1","0.0","0.3","0.0","-8.5","8","3"
"Marketing and sales managers","=""11-2020""","Summary","8.1","1.0","0.9","7.4","0.9","0.8","-0.7","-8.5","9","3"
"Marketing managers","=""11-2021""","Line Item","1.3","0.2","0.4","1.2","0.1","0.3","-0.1","-8.5","10","4"
"Sales managers","=""11-2022""","Line Item","6.8","0.8","1.2","6.3","0.8","1.1","-0.6","-8.5","11","4"
"Operations specialties managers","=""11-3000""","Summary","3.4","0.4","0.1","3.3","0.4","0.1","-0.2","-4.5","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","0.5","0.1","0.1","0.4","0.1","0.1","0.0","-8.5","16","3"
"Administrative services managers","=""11-3012""","Line Item","0.4","0.0","0.2","0.4","0.0","0.1","0.0","-8.5","17","4"
"Facilities managers","=""11-3013""","Line Item","0.1","0.0","0.1","0.1","0.0","0.0","0.0","-8.5","18","4"
"Financial managers","=""11-3031""","Line Item","0.8","0.1","0.1","0.8","0.1","0.1","0.0","0.7","20","3"
"Industrial production managers","=""11-3051""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-8.5","21","3"
"Purchasing managers","=""11-3061""","Line Item","0.2","0.0","0.3","0.2","0.0","0.3","0.0","-8.5","22","3"
"Transportation, storage, and distribution managers","=""11-3071""","Line Item","0.7","0.1","0.4","0.6","0.1","0.3","-0.1","-8.5","23","3"
"Human resources managers","=""11-3121""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-8.5","25","3"
"Other management occupations","=""11-9000""","Summary","0.8","0.1","0.0","0.7","0.1","0.0","-0.1","-7.2","27","2"
"Managers, all other","=""11-9199""","Line Item","0.6","0.1","0.0","0.6","0.1","0.0","-0.1","-8.5","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","14.1","1.7","0.1","13.0","1.6","0.1","-1.1","-8.1","51","1"
"Business operations specialists","=""13-1000""","Summary","12.6","1.5","0.2","11.6","1.4","0.2","-1.0","-8.0","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","3.3","0.4","0.7","2.7","0.3","0.6","-0.6","-17.6","54","3"
"Human resources workers","=""13-1070""","Summary","0.9","0.1","0.1","0.8","0.1","0.1","-0.1","-10.3","60","3"
"Human resources specialists","=""13-1071""","Line Item","0.9","0.1","0.1","0.8","0.1","0.1","-0.1","-10.3","61","4"
"Logisticians and project management specialists","=""13-1080""","Summary","0.8","0.1","0.1","0.7","0.1","0.1","0.0","-2.3","64","3"
"Project management specialists","=""13-1082""","Line Item","0.3","0.0","0.0","0.3","0.0","0.0","0.0","-8.5","66","4"
"Management analysts","=""13-1111""","Line Item","0.5","0.1","0.0","0.4","0.1","0.0","0.0","-8.5","67","3"
"Training and development specialists","=""13-1151""","Line Item","0.4","0.0","0.1","0.3","0.0","0.1","0.0","-8.5","71","3"
"Market research analysts and marketing specialists","=""13-1161""","Line Item","5.1","0.6","0.6","5.0","0.6","0.5","-0.1","-2.1","72","3"
"Business operations specialists, all other","=""13-1199""","Line Item","1.5","0.2","0.1","1.4","0.2","0.1","-0.1","-8.5","73","3"
"Financial specialists","=""13-2000""","Summary","1.6","0.2","0.0","1.4","0.2","0.0","-0.1","-8.5","74","2"
"Accountants and auditors","=""13-2011""","Line Item","1.3","0.2","0.1","1.2","0.1","0.1","-0.1","-8.5","75","3"
"Financial analysts and advisors","=""13-2050""","Summary","0.2","0.0","0.0","0.2","0.0","0.0","0.0","-8.5","79","3"
"Financial and investment analysts","=""13-2051""","Line Item","0.2","0.0","0.1","0.2","0.0","0.0","0.0","-8.5","80","4"
"Computer and mathematical occupations","=""15-0000""","Summary","7.7","0.9","0.1","7.6","0.9","0.1","-0.1","-1.1","92","1"
"Computer occupations","=""15-1200""","Summary","7.2","0.8","0.1","7.0","0.9","0.1","-0.2","-2.1","93","2"
